"gender"	"SeniorCitizen"	"Partner"	"Dependents"	"tenure"	"PaperlessBilling"	"Churn"
"Female"	0	"Yes"	"Yes"	18	"Yes"	"No"
"Female"	0	"No"	"No"	9	"No"	"Yes"
"Female"	0	"No"	"No"	3	"Yes"	"No"
"Male"	0	"Yes"	"No"	47	"Yes"	"No"
"Female"	0	"No"	"No"	31	"No"	"No"
"Female"	0	"Yes"	"Yes"	50	"No"	"No"
"Male"	0	"No"	"No"	10	"Yes"	"No"
"Male"	0	"No"	"No"	1	"No"	"No"
"Female"	0	"Yes"	"Yes"	52	"Yes"	"No"
"Male"	1	"Yes"	"Yes"	64	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	62	"Yes"	"No"
"Female"	0	"No"	"Yes"	3	"Yes"	"No"
"Female"	1	"No"	"No"	56	"No"	"No"
"Female"	0	"No"	"No"	46	"No"	"No"
"Female"	0	"Yes"	"Yes"	8	"No"	"No"
"Male"	1	"No"	"No"	30	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	45	"Yes"	"No"
"Female"	0	"No"	"Yes"	1	"Yes"	"Yes"
"Female"	0	"Yes"	"Yes"	11	"No"	"No"
"Female"	0	"Yes"	"No"	7	"Yes"	"Yes"
"Female"	0	"No"	"No"	42	"Yes"	"No"
"Female"	0	"Yes"	"No"	49	"Yes"	"No"
"Male"	0	"No"	"No"	9	"Yes"	"No"
"Female"	0	"Yes"	"No"	35	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	48	"No"	"No"
"Female"	0	"Yes"	"Yes"	46	"Yes"	"No"
"Male"	0	"Yes"	"No"	29	"No"	"No"
"Male"	0	"Yes"	"Yes"	30	"No"	"No"
"Male"	1	"No"	"No"	1	"No"	"No"
"Male"	0	"Yes"	"Yes"	66	"Yes"	"No"
"Female"	0	"No"	"No"	65	"Yes"	"No"
"Male"	0	"No"	"No"	72	"Yes"	"No"
"Female"	0	"No"	"No"	12	"Yes"	"Yes"
"Male"	0	"Yes"	"Yes"	71	"Yes"	"No"
"Male"	0	"No"	"No"	5	"No"	"Yes"
"Male"	0	"No"	"No"	52	"No"	"No"
"Female"	1	"Yes"	"No"	25	"Yes"	"Yes"
"Male"	0	"No"	"No"	1	"No"	"No"
"Female"	0	"Yes"	"Yes"	1	"No"	"No"
"Male"	0	"No"	"No"	38	"No"	"No"
"Female"	1	"Yes"	"No"	66	"No"	"No"
"Male"	0	"Yes"	"No"	68	"Yes"	"Yes"
"Male"	0	"No"	"No"	5	"No"	"No"
"Female"	0	"Yes"	"Yes"	72	"Yes"	"No"
"Female"	0	"No"	"No"	32	"No"	"No"
"Male"	0	"No"	"No"	43	"No"	"No"
"Male"	0	"Yes"	"Yes"	72	"No"	"No"
"Male"	0	"Yes"	"No"	55	"Yes"	"Yes"
"Female"	0	"No"	"No"	52	"No"	"No"
"Female"	0	"No"	"No"	43	"Yes"	"No"
"Female"	1	"Yes"	"No"	37	"Yes"	"Yes"
"Female"	0	"Yes"	"Yes"	64	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	3	"No"	"No"
"Female"	0	"No"	"No"	36	"No"	"No"
"Female"	0	"Yes"	"Yes"	10	"Yes"	"Yes"
"Female"	0	"No"	"No"	41	"No"	"No"
"Male"	0	"Yes"	"Yes"	27	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	56	"Yes"	"No"
"Female"	0	"No"	"No"	6	"No"	"No"
"Male"	0	"No"	"No"	3	"Yes"	"Yes"
"Female"	0	"Yes"	"Yes"	7	"No"	"No"
"Female"	0	"Yes"	"Yes"	4	"No"	"No"
"Male"	0	"No"	"No"	33	"Yes"	"No"
"Female"	1	"No"	"No"	27	"Yes"	"Yes"
"Male"	0	"Yes"	"No"	72	"Yes"	"No"
"Male"	0	"No"	"No"	1	"No"	"No"
"Male"	1	"No"	"No"	71	"Yes"	"No"
"Female"	0	"No"	"No"	13	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	25	"Yes"	"Yes"
"Male"	0	"No"	"No"	67	"No"	"No"
"Male"	0	"No"	"No"	1	"Yes"	"Yes"
"Male"	0	"No"	"No"	2	"No"	"Yes"
"Female"	0	"No"	"No"	43	"Yes"	"No"
"Female"	0	"No"	"No"	23	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	64	"No"	"No"
"Male"	0	"No"	"Yes"	57	"Yes"	"No"
"Female"	1	"Yes"	"No"	1	"Yes"	"Yes"
"Female"	1	"Yes"	"Yes"	72	"Yes"	"No"
"Female"	0	"No"	"No"	8	"No"	"Yes"
"Female"	0	"Yes"	"No"	61	"Yes"	"No"
"Male"	0	"No"	"No"	64	"Yes"	"No"
"Male"	1	"Yes"	"No"	71	"No"	"No"
"Female"	0	"Yes"	"Yes"	65	"Yes"	"No"
"Male"	0	"No"	"No"	3	"No"	"No"
"Male"	0	"No"	"No"	1	"Yes"	"Yes"
"Male"	0	"No"	"Yes"	30	"No"	"No"
"Male"	0	"Yes"	"Yes"	15	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	8	"Yes"	"No"
"Male"	0	"No"	"No"	7	"No"	"Yes"
"Female"	0	"Yes"	"Yes"	70	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	62	"No"	"No"
"Female"	0	"Yes"	"Yes"	6	"No"	"No"
"Female"	0	"Yes"	"Yes"	14	"Yes"	"No"
"Female"	0	"No"	"No"	22	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	22	"No"	"No"
"Male"	0	"Yes"	"Yes"	16	"No"	"No"
"Male"	0	"No"	"No"	10	"No"	"No"
"Female"	0	"No"	"Yes"	13	"Yes"	"No"
"Female"	0	"Yes"	"No"	20	"No"	"Yes"
"Female"	0	"No"	"No"	2	"Yes"	"No"
"Male"	0	"No"	"No"	53	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	11	"No"	"No"
"Male"	0	"Yes"	"No"	69	"No"	"No"
"Female"	0	"No"	"No"	4	"Yes"	"Yes"
"Male"	0	"Yes"	"No"	72	"Yes"	"No"
"Male"	1	"Yes"	"No"	58	"Yes"	"Yes"
"Female"	0	"Yes"	"Yes"	16	"No"	"No"
"Male"	0	"Yes"	"No"	43	"Yes"	"No"
"Female"	0	"Yes"	"No"	2	"Yes"	"Yes"
"Male"	0	"Yes"	"No"	14	"No"	"No"
"Female"	0	"Yes"	"No"	53	"Yes"	"Yes"
"Female"	0	"No"	"No"	32	"No"	"No"
"Female"	0	"Yes"	"No"	34	"No"	"No"
"Female"	1	"No"	"No"	15	"Yes"	"Yes"
"Female"	1	"No"	"No"	7	"No"	"Yes"
"Female"	0	"Yes"	"Yes"	15	"Yes"	"No"
"Male"	0	"Yes"	"No"	61	"Yes"	"No"
"Female"	0	"No"	"No"	1	"No"	"Yes"
"Female"	0	"No"	"No"	1	"No"	"No"
"Male"	0	"No"	"No"	8	"No"	"Yes"
"Male"	0	"Yes"	"Yes"	33	"No"	"No"
"Female"	0	"No"	"No"	13	"Yes"	"Yes"
"Female"	0	"Yes"	"No"	1	"Yes"	"Yes"
"Male"	0	"No"	"No"	20	"Yes"	"No"
"Male"	0	"No"	"No"	3	"No"	"No"
"Female"	0	"No"	"No"	13	"No"	"No"
"Female"	0	"Yes"	"No"	40	"No"	"No"
"Male"	0	"Yes"	"Yes"	43	"Yes"	"No"
"Male"	0	"Yes"	"No"	6	"Yes"	"Yes"
"Female"	0	"Yes"	"Yes"	69	"No"	"No"
"Female"	0	"Yes"	"Yes"	72	"No"	"No"
"Male"	0	"Yes"	"Yes"	59	"No"	"No"
"Female"	0	"Yes"	"No"	20	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	24	"Yes"	"No"
"Male"	0	"No"	"No"	59	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	72	"Yes"	"No"
"Male"	0	"No"	"Yes"	1	"No"	"No"
"Female"	0	"Yes"	"No"	27	"Yes"	"No"
"Female"	0	"No"	"No"	14	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	71	"No"	"No"
"Male"	0	"No"	"Yes"	13	"Yes"	"No"
"Male"	0	"No"	"No"	44	"No"	"No"
"Female"	0	"No"	"No"	33	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	72	"Yes"	"No"
"Male"	0	"No"	"No"	1	"No"	"Yes"
"Female"	0	"No"	"No"	19	"Yes"	"Yes"
"Male"	0	"Yes"	"No"	64	"Yes"	"No"
"Male"	0	"No"	"No"	2	"Yes"	"Yes"
"Female"	0	"No"	"No"	1	"No"	"No"
"Male"	0	"No"	"Yes"	61	"No"	"No"
"Female"	0	"Yes"	"Yes"	29	"No"	"No"
"Male"	1	"Yes"	"No"	23	"No"	"No"
"Female"	0	"Yes"	"No"	57	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	72	"No"	"No"
"Male"	0	"Yes"	"No"	66	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	65	"Yes"	"No"
"Female"	0	"No"	"No"	8	"Yes"	"No"
"Female"	0	"No"	"No"	4	"Yes"	"Yes"
"Female"	0	"Yes"	"No"	71	"No"	"No"
"Male"	0	"Yes"	"Yes"	1	"Yes"	"No"
"Male"	0	"Yes"	"No"	4	"No"	"Yes"
"Female"	0	"No"	"No"	12	"Yes"	"No"
"Male"	0	"No"	"No"	24	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	31	"Yes"	"No"
"Female"	0	"Yes"	"No"	1	"No"	"Yes"
"Male"	0	"No"	"No"	30	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	47	"Yes"	"No"
"Male"	0	"No"	"No"	54	"Yes"	"No"
"Male"	0	"No"	"No"	50	"Yes"	"No"
"Male"	0	"No"	"No"	1	"Yes"	"Yes"
"Female"	0	"No"	"No"	72	"No"	"No"
"Female"	0	"No"	"No"	29	"No"	"No"
"Male"	0	"No"	"No"	2	"Yes"	"Yes"
"Female"	0	"No"	"No"	10	"Yes"	"No"
"Male"	0	"Yes"	"No"	18	"Yes"	"No"
"Female"	1	"No"	"No"	11	"Yes"	"Yes"
"Male"	0	"No"	"No"	16	"No"	"No"
"Female"	0	"No"	"No"	72	"No"	"No"
"Male"	0	"No"	"No"	72	"No"	"No"
"Female"	0	"Yes"	"Yes"	41	"Yes"	"No"
"Female"	1	"Yes"	"No"	65	"No"	"No"
"Female"	1	"No"	"No"	13	"Yes"	"No"
"Male"	1	"No"	"No"	4	"No"	"No"
"Male"	0	"No"	"No"	41	"No"	"No"
"Male"	1	"No"	"No"	15	"Yes"	"Yes"
"Male"	0	"No"	"No"	1	"Yes"	"Yes"
"Male"	0	"No"	"No"	42	"Yes"	"No"
"Female"	0	"Yes"	"No"	51	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	2	"No"	"Yes"
"Male"	1	"Yes"	"No"	1	"No"	"Yes"
"Male"	0	"No"	"Yes"	32	"No"	"No"
"Male"	0	"No"	"No"	10	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	67	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	61	"No"	"No"
"Male"	0	"No"	"No"	50	"No"	"No"
"Female"	0	"Yes"	"No"	2	"Yes"	"Yes"
"Female"	1	"Yes"	"No"	29	"Yes"	"No"
"Male"	1	"No"	"No"	3	"Yes"	"Yes"
"Male"	1	"No"	"No"	13	"Yes"	"Yes"
"Male"	1	"Yes"	"No"	57	"Yes"	"No"
"Female"	0	"No"	"No"	31	"Yes"	"No"
"Female"	0	"Yes"	"No"	45	"No"	"No"
"Female"	0	"Yes"	"Yes"	61	"No"	"No"
"Male"	0	"No"	"No"	50	"No"	"No"
"Female"	1	"No"	"No"	19	"Yes"	"No"
"Male"	0	"No"	"No"	59	"No"	"Yes"
"Female"	0	"Yes"	"No"	71	"Yes"	"No"
"Female"	1	"No"	"No"	16	"Yes"	"Yes"
"Male"	0	"Yes"	"No"	57	"Yes"	"No"
"Male"	0	"No"	"No"	1	"No"	"Yes"
"Male"	1	"Yes"	"No"	20	"No"	"No"
"Male"	0	"No"	"No"	1	"No"	"Yes"
"Male"	0	"Yes"	"No"	5	"Yes"	"Yes"
"Female"	0	"Yes"	"No"	52	"Yes"	"Yes"
"Male"	1	"Yes"	"No"	21	"Yes"	"No"
"Male"	0	"No"	"No"	14	"Yes"	"No"
"Female"	0	"No"	"No"	5	"No"	"No"
"Female"	0	"No"	"No"	6	"No"	"No"
"Female"	0	"No"	"No"	10	"No"	"No"
"Female"	0	"No"	"Yes"	1	"No"	"No"
"Female"	0	"No"	"No"	68	"No"	"No"
"Male"	0	"Yes"	"Yes"	18	"No"	"Yes"
"Female"	0	"No"	"No"	22	"Yes"	"No"
"Female"	0	"No"	"No"	20	"Yes"	"No"
"Male"	0	"Yes"	"No"	1	"No"	"Yes"
"Male"	1	"No"	"No"	8	"Yes"	"Yes"
"Male"	0	"No"	"No"	10	"Yes"	"Yes"
"Male"	1	"No"	"No"	24	"Yes"	"Yes"
"Male"	0	"No"	"No"	35	"No"	"No"
"Male"	0	"Yes"	"Yes"	23	"No"	"No"
"Female"	1	"No"	"No"	6	"Yes"	"No"
"Female"	0	"No"	"No"	12	"No"	"No"
"Male"	0	"No"	"No"	1	"No"	"No"
"Female"	0	"Yes"	"Yes"	71	"No"	"No"
"Male"	1	"Yes"	"No"	35	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	40	"Yes"	"No"
"Female"	0	"No"	"Yes"	1	"Yes"	"Yes"
"Male"	0	"No"	"No"	23	"Yes"	"No"
"Female"	1	"No"	"No"	4	"Yes"	"Yes"
"Male"	0	"No"	"No"	4	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	68	"No"	"No"
"Male"	0	"No"	"Yes"	38	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	52	"No"	"No"
"Male"	1	"Yes"	"No"	32	"Yes"	"Yes"
"Male"	0	"Yes"	"Yes"	29	"No"	"No"
"Male"	1	"Yes"	"Yes"	38	"No"	"No"
"Male"	0	"No"	"Yes"	48	"Yes"	"No"
"Female"	0	"No"	"No"	1	"Yes"	"No"
"Female"	0	"No"	"No"	22	"Yes"	"No"
"Female"	0	"No"	"No"	43	"No"	"No"
"Female"	1	"Yes"	"No"	5	"Yes"	"No"
"Male"	0	"No"	"No"	5	"Yes"	"Yes"
"Male"	0	"Yes"	"Yes"	51	"No"	"No"
"Male"	0	"No"	"No"	71	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	38	"No"	"Yes"
"Male"	1	"Yes"	"No"	24	"Yes"	"Yes"
"Male"	0	"Yes"	"No"	35	"Yes"	"No"
"Female"	1	"No"	"No"	54	"No"	"Yes"
"Female"	0	"Yes"	"Yes"	72	"Yes"	"No"
"Male"	0	"No"	"No"	1	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	9	"No"	"No"
"Male"	0	"No"	"No"	69	"Yes"	"No"
"Female"	0	"Yes"	"No"	52	"Yes"	"No"
"Female"	1	"Yes"	"No"	11	"Yes"	"No"
"Female"	1	"No"	"No"	2	"Yes"	"Yes"
"Female"	1	"Yes"	"Yes"	28	"Yes"	"No"
"Female"	1	"No"	"No"	17	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	35	"Yes"	"No"
"Female"	0	"No"	"No"	8	"Yes"	"No"
"Male"	0	"No"	"No"	46	"Yes"	"No"
"Female"	0	"No"	"No"	7	"Yes"	"Yes"
"Female"	0	"No"	"No"	2	"No"	"Yes"
"Male"	0	"Yes"	"Yes"	68	"Yes"	"Yes"
"Female"	0	"No"	"No"	43	"Yes"	"Yes"
"Female"	0	"No"	"No"	68	"Yes"	"No"
"Female"	0	"No"	"No"	36	"Yes"	"No"
"Male"	0	"Yes"	"No"	63	"Yes"	"Yes"
"Female"	1	"No"	"No"	32	"No"	"No"
"Female"	0	"Yes"	"No"	71	"No"	"No"
"Female"	0	"Yes"	"Yes"	66	"Yes"	"No"
"Male"	0	"No"	"No"	63	"No"	"No"
"Female"	0	"No"	"Yes"	41	"Yes"	"No"
"Female"	1	"No"	"No"	1	"Yes"	"No"
"Female"	0	"No"	"No"	2	"Yes"	"Yes"
"Female"	0	"Yes"	"No"	70	"No"	"No"
"Female"	0	"No"	"No"	23	"Yes"	"No"
"Female"	1	"Yes"	"No"	64	"No"	"No"
"Male"	0	"Yes"	"Yes"	37	"Yes"	"No"
"Male"	0	"No"	"Yes"	17	"No"	"No"
"Female"	1	"No"	"No"	7	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	4	"Yes"	"Yes"
"Female"	1	"No"	"No"	21	"Yes"	"Yes"
"Female"	0	"No"	"No"	10	"Yes"	"Yes"
"Female"	1	"No"	"No"	16	"Yes"	"No"
"Male"	0	"Yes"	"No"	64	"Yes"	"No"
"Male"	1	"Yes"	"No"	27	"No"	"Yes"
"Male"	0	"Yes"	"Yes"	42	"No"	"No"
"Male"	0	"No"	"Yes"	5	"No"	"No"
"Female"	0	"No"	"No"	41	"Yes"	"No"
"Male"	0	"Yes"	"No"	58	"No"	"No"
"Female"	0	"No"	"No"	47	"Yes"	"No"
"Male"	0	"No"	"No"	18	"Yes"	"No"
"Male"	0	"No"	"No"	5	"No"	"Yes"
"Male"	0	"Yes"	"No"	23	"Yes"	"No"
"Female"	0	"No"	"No"	1	"No"	"No"
"Male"	0	"Yes"	"No"	71	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	72	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	33	"No"	"No"
"Male"	0	"No"	"No"	2	"Yes"	"Yes"
"Male"	0	"No"	"Yes"	24	"No"	"No"
"Female"	0	"Yes"	"Yes"	56	"Yes"	"No"
"Male"	0	"No"	"No"	37	"Yes"	"No"
"Female"	0	"No"	"No"	43	"No"	"No"
"Male"	0	"No"	"No"	1	"No"	"No"
"Female"	0	"Yes"	"No"	25	"Yes"	"Yes"
"Female"	0	"No"	"No"	61	"No"	"No"
"Male"	0	"No"	"No"	17	"No"	"No"
"Female"	0	"Yes"	"No"	41	"Yes"	"No"
"Male"	0	"No"	"No"	1	"No"	"Yes"
"Male"	1	"Yes"	"Yes"	72	"Yes"	"No"
"Male"	0	"No"	"No"	1	"Yes"	"Yes"
"Male"	0	"No"	"No"	48	"Yes"	"No"
"Male"	1	"Yes"	"No"	11	"No"	"Yes"
"Female"	1	"Yes"	"No"	55	"Yes"	"Yes"
"Female"	0	"No"	"No"	42	"Yes"	"No"
"Male"	0	"No"	"No"	44	"Yes"	"No"
"Male"	0	"No"	"Yes"	1	"No"	"No"
"Female"	0	"No"	"No"	27	"Yes"	"No"
"Male"	1	"Yes"	"No"	27	"Yes"	"No"
"Female"	1	"No"	"No"	2	"Yes"	"No"
"Female"	0	"No"	"No"	19	"No"	"No"
"Female"	1	"Yes"	"No"	42	"Yes"	"No"
"Female"	0	"No"	"No"	66	"Yes"	"No"
"Male"	1	"Yes"	"No"	33	"Yes"	"No"
"Female"	0	"No"	"No"	34	"Yes"	"Yes"
"Male"	1	"No"	"No"	33	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	23	"No"	"No"
"Female"	0	"No"	"No"	32	"No"	"No"
"Female"	0	"No"	"No"	11	"No"	"No"
"Male"	0	"Yes"	"Yes"	69	"Yes"	"Yes"
"Female"	0	"Yes"	"No"	68	"No"	"No"
"Male"	0	"No"	"No"	20	"Yes"	"No"
"Male"	0	"No"	"No"	72	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	60	"Yes"	"No"
"Male"	1	"Yes"	"Yes"	32	"Yes"	"No"
"Female"	0	"No"	"No"	1	"Yes"	"Yes"
"Male"	0	"No"	"No"	1	"Yes"	"Yes"
"Male"	1	"No"	"No"	3	"Yes"	"Yes"
"Female"	0	"Yes"	"No"	46	"Yes"	"No"
"Female"	0	"Yes"	"No"	29	"Yes"	"No"
"Male"	0	"No"	"No"	51	"Yes"	"No"
"Female"	1	"Yes"	"No"	48	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	16	"No"	"No"
"Male"	0	"Yes"	"No"	70	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	40	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	22	"No"	"Yes"
"Female"	1	"No"	"No"	1	"Yes"	"Yes"
"Female"	0	"Yes"	"Yes"	5	"Yes"	"No"
"Female"	0	"No"	"No"	7	"Yes"	"No"
"Male"	0	"No"	"Yes"	29	"No"	"No"
"Male"	0	"Yes"	"Yes"	44	"No"	"No"
"Female"	0	"No"	"No"	10	"No"	"No"
"Female"	1	"Yes"	"No"	55	"No"	"No"
"Male"	1	"Yes"	"No"	52	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	10	"No"	"No"
"Male"	0	"No"	"No"	18	"Yes"	"No"
"Female"	0	"Yes"	"No"	68	"No"	"No"
"Female"	0	"Yes"	"Yes"	61	"Yes"	"Yes"
"Female"	0	"Yes"	"Yes"	72	"Yes"	"No"
"Male"	0	"No"	"No"	2	"No"	"No"
"Male"	0	"No"	"No"	12	"Yes"	"Yes"
"Male"	0	"Yes"	"No"	41	"Yes"	"No"
"Female"	0	"No"	"No"	26	"Yes"	"No"
"Male"	0	"Yes"	"No"	36	"No"	"No"
"Male"	0	"Yes"	"Yes"	72	"Yes"	"No"
"Male"	0	"Yes"	"No"	35	"Yes"	"No"
"Male"	0	"No"	"No"	1	"No"	"No"
"Female"	0	"Yes"	"Yes"	16	"Yes"	"No"
"Female"	1	"No"	"No"	49	"No"	"No"
"Female"	0	"Yes"	"No"	54	"Yes"	"No"
"Female"	0	"No"	"Yes"	18	"No"	"No"
"Female"	0	"Yes"	"No"	36	"No"	"No"
"Female"	0	"No"	"No"	60	"Yes"	"Yes"
"Female"	0	"No"	"No"	1	"No"	"Yes"
"Female"	0	"Yes"	"Yes"	52	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	8	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	72	"No"	"No"
"Female"	0	"No"	"No"	64	"No"	"No"
"Female"	1	"No"	"No"	22	"Yes"	"No"
"Male"	0	"Yes"	"No"	60	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	28	"Yes"	"Yes"
"Female"	0	"Yes"	"No"	61	"No"	"No"
"Female"	0	"No"	"No"	24	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	28	"No"	"No"
"Female"	0	"Yes"	"Yes"	30	"No"	"No"
"Male"	0	"Yes"	"No"	2	"No"	"No"
"Male"	0	"No"	"No"	1	"Yes"	"No"
"Male"	0	"No"	"Yes"	6	"No"	"No"
"Female"	0	"Yes"	"No"	24	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	4	"No"	"Yes"
"Male"	0	"No"	"No"	7	"Yes"	"Yes"
"Male"	1	"Yes"	"No"	72	"Yes"	"No"
"Male"	0	"No"	"No"	70	"Yes"	"No"
"Male"	1	"Yes"	"No"	64	"No"	"No"
"Male"	0	"Yes"	"Yes"	72	"Yes"	"No"
"Female"	0	"No"	"Yes"	44	"No"	"No"
"Female"	0	"Yes"	"Yes"	13	"No"	"Yes"
"Female"	1	"No"	"No"	17	"No"	"No"
"Male"	0	"No"	"No"	1	"Yes"	"Yes"
"Male"	0	"Yes"	"No"	9	"Yes"	"No"
"Male"	0	"Yes"	"No"	24	"No"	"No"
"Female"	0	"Yes"	"Yes"	1	"Yes"	"Yes"
"Male"	0	"No"	"No"	24	"Yes"	"Yes"
"Male"	1	"Yes"	"Yes"	35	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	7	"Yes"	"No"
"Male"	0	"No"	"No"	5	"Yes"	"Yes"
"Female"	0	"No"	"Yes"	15	"No"	"Yes"
"Male"	0	"Yes"	"Yes"	11	"No"	"No"
"Female"	0	"Yes"	"No"	48	"Yes"	"Yes"
"Female"	1	"No"	"No"	20	"Yes"	"No"
"Female"	0	"Yes"	"No"	72	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	8	"Yes"	"Yes"
"Male"	0	"Yes"	"Yes"	72	"Yes"	"No"
"Female"	0	"No"	"No"	15	"Yes"	"No"
"Male"	0	"No"	"No"	72	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	0	"Yes"	"No"
"Male"	0	"No"	"Yes"	1	"Yes"	"Yes"
